x,y
182.0,0.0
182.0,0.0
182.0,0.0
182.0,0.0
182.0,0.0
182.0,0.0
182.0,0.0
182.0,0.0
182.0,0.0
182.0,0.0
182.0,0.0
182.0,0.0
182.0,0.0
182.0,0.0
182.0,0.0
182.0,0.0
182.0,0.0
182.0,0.0
182.0,0.0
182.0,0.0
182.0,0.0
181.95056335025902,-4.241756301743792
181.86234098700848,-7.077353370085033
183.75987588426625,-9.397234433548295
183.64874828989016,-11.363857248160116
184.6468393132048,-11.425617341900116
184.58027003842722,-12.454875051211324
184.30474203941142,-16.023796734419857
185.30098388827312,-16.11041185190321
186.18983846146176,-17.388043411918943
186.18983846146176,-17.388043411918943
186.96050557569004,-19.742577209735664
186.96050557569004,-19.742577209735664
186.8218995367698,-21.013753911976284
187.4127208995919,-24.443241295124245
188.11482283157272,-26.698566085953104
189.1209789098492,-33.124844696698176
189.31995647412697,-37.509386567027036
189.96523720647312,-39.35998797114147
190.54198414597133,-41.45783734972693
189.33681908753232,-46.65371301209645
191.607859891165,-49.90418848080477
192.70162827160664,-53.53580541536227
192.69164391501994,-57.19204809523051
193.65030881011955,-57.476585647943104
193.93518867289976,-59.98451962303915
194.62985401294074,-64.37561593415147
194.23077547271225,-68.63239657238296
196.01694186513558,-72.51453993400258
198.00868996836664,-75.74007325723456
198.94269322293442,-76.09733775373094
198.93824244355406,-78.86428655272107
200.9910628368719,-81.80215559326426
200.9320920234661,-84.55941340308212
202.7755057117548,-85.33518783797278
203.21697512124953,-86.85540295554131
203.09184798328096,-89.65322795491468
204.08995347607095,-92.32167075034552
204.4563444591907,-93.9287134500668
203.89711581229517,-99.77457673890427
201.69151285539192,-108.45060461843111
202.2247933076436,-119.70853341212072
205.85100965288868,-127.23742305189276
208.83892908563183,-133.7546324370354
207.9370066835627,-140.58165332460706
208.81107078499446,-148.10110302635843
209.92878215162116,-153.39461015412888
212.3510373302937,-155.1645479635996
212.01851769969065,-158.9753067379521
211.9060734850692,-167.3195028086698
211.92115941784235,-172.10003541835036
213.7179470439424,-177.78818608479762
212.90877546819596,-187.95173137971707
217.45749758729335,-196.37015237319622
221.22897710843614,-201.1435797820926
219.11279099766855,-209.28111434434788
224.00487289854772,-217.1769253804499
223.89232369159012,-220.15500764684015
224.52425790767649,-225.19515450161703
225.15150774552555,-232.9866918086021
225.04173866802222,-244.09058944841277
227.76102418816242,-259.1330080494557
233.70989210877127,-269.86790533612265
