x,y
239.9999976088786,0.03387828602119931
237.9999976288046,0.03359596697102265
239.9999976088786,0.03387828602119931
237.99957584143544,-0.44933205631222395
237.99881318165933,-0.751614343676542
237.99000161944352,-2.181542843327896
235.90088818051942,-6.838929422217802
236.75756606511015,-10.717038346716574
233.88430112540593,-31.52988561794097
235.07216337693862,-37.21663613608683
235.95135986389002,-38.052014117272
233.86339660016327,-49.28399061190901
232.46687724074445,-55.499107974242605
233.64320132251578,-59.09191548567671
232.5028251971601,-63.43056262826951
232.92998488087778,-65.63247780934417
230.80594518081702,-76.0106286593506
230.76137643620456,-79.27917220347535
230.09599075712754,-81.1901166244751
230.67238986456223,-85.47659652894117
231.69836895890532,-88.43000521193572
230.50260583867453,-91.50163223451612
231.4049968970497,-94.61356885286818
231.4925780653037,-97.01642284004949
231.25012967089816,-100.1367940728721
229.9563654975505,-103.07312921977757
229.18669630540873,-107.15623284070949
227.80458863887452,-110.06393321644087
228.1803615573161,-113.83638521831455
228.69893336674863,-117.24247471335404
227.79347169405236,-121.13684102522637
229.14322894360532,-122.85512048465245
228.9690359302854,-125.27641671581952
228.73422621577586,-129.80621617422744
228.40205357784205,-134.37820478568898
226.88153465104304,-138.8552096047806
206.90198559629982,-131.21192154796205
204.81660903635893,-132.6128073107846
229.30353486545997,-151.8054310563518
229.53286929300614,-155.0601880371611
227.8468376927089,-157.52719940833188
226.81320665847466,-162.47082595130755
200.66148672102096,-147.43123056838917
197.76539803684912,-149.64239820093312
197.5920708443048,-153.15800187864568
226.492655570319,-181.11067603182553
227.22459743175395,-184.9810323302834
227.14936225436873,-189.78716296797728
227.86365131724835,-193.5953419077315
227.09830822152398,-199.0737511650436
225.0423843241621,-204.38181244351495
233.40899012597743,-210.03867103076843
233.96161396053492,-209.4229290048767
233.42950696371196,-208.5177816846284
231.95815188535838,-208.66100683627744
229.4598721713946,-211.40522004692136
228.87908549071838,-214.965960619193
229.8073217127517,-219.80126225117965
229.76775171473665,-225.5898496651725
230.6282558995222,-228.9882258561442
233.51474501719858,-234.58871213157877
228.96499754636105,-240.4142880500135
229.60925023091556,-248.03949727492352
230.39757218680725,-256.7916640594569
230.62790761036823,-264.5973700384481
226.2773757786416,-268.3273173024532
225.72336758366728,-273.9962797679717
224.54339515248026,-285.2179231629687
225.1861161554205,-294.84269211028015
227.47662172544221,-303.1425185756365
228.69627417880173,-314.6728685106715
228.2168711104943,-324.8477485538972
225.11228605903614,-337.8763955432144
221.38813825342964,-354.5578827789341
225.19127673569406,-367.4913453159789
232.3941018349384,-387.6815464170719
231.38767951088977,-399.87965911079516
231.20633501872555,-412.64104333816437
226.97188753724555,-416.12469557547286
223.3737069524698,-430.4987654364553
221.08494296919386,-447.3504755695564
221.17565243365706,-462.8718297439866
228.8146140704441,-483.59990941665166
232.9420892048601,-501.54459729606793
232.89790398019736,-512.5695721769199
230.002341085626,-520.4420458563387
232.67855854793564,-533.4647958319789
234.3055260117341,-552.3594124122125
233.50810465921174,-568.9454851376031
238.79067607719438,-594.8613393208509
247.2164790578794,-620.5707151342425
243.36419817402108,-622.0915262621054
238.8237389324115,-636.6814130492137
235.62391783993164,-654.9025647695703
233.55596631304581,-669.4270763866513
236.3573481031018,-702.2935312229988
242.1953966517467,-730.9181827268378
214.3506064814449,-759.3252382879399
197.80930754831778,-789.5995680389238
209.96939840004552,-915.2233889797195
234.43762847042487,-1040.926509585169
257.1418418701579,-1162.9097442018544
254.83531892928428,-1221.7049399205237
242.67190943468628,-1304.6222995071498
231.91675896728873,-1306.5770612214606
226.00014952086724,-1536.4676802381966
223.86920435550627,-1533.7478864993532
199.14858618786545,-1525.052078002379
